image_name,question,answer
00b02bf3.jpg,What material are the armrests seemingly made of,leather
00bb2838.jpg,How many warning symbols are shown,three
00bb2838.jpg,What is the main color of the cooktop,black
00bb2838.jpg,What is the overall shape of the cooktop,rectangular
00bb2838.jpg,What is the shape of the cooking surface,round
00bb2838.jpg,What type of control panel does it have,touch
00c1e7fc.jpg,How many number buttons are visible on the safe,ten
00c1e7fc.jpg,What is the main color of the safe,black
00c1e7fc.jpg,What is the shape of the safe,rectangular
00c1e7fc.jpg,What material appears to be the safe's exterior,metal
00c1e7fc.jpg,What type of lock is visible on the safe,digital
00dabefa.jpg,Does the swatch appear smooth or rough,rough
00dabefa.jpg,Is the swatch primarily light or dark,light
00dabefa.jpg,What is the main color shown,oatmeal
00dabefa.jpg,What is the overall shape of the swatch,square
00dabefa.jpg,What is the texture of the swatch,grainy
00e3e839.jpg,What is the design element visible on the tie clip,carbon
00e3e839.jpg,What is the item shown in the image,clip
00e3e839.jpg,What is the main color of the tie clip,silver
00e3e839.jpg,What is the shape of the tie clip,rectangular
00e3e839.jpg,What material is the tie clip primarily made of,steel
00ec7764.jpg,How many screws are shown,four
00ec7764.jpg,What is the finish of the handle,chrome
00ec7764.jpg,What is the main shape of the handle,bar
00ec7764.jpg,What is the material of the screws,metal
00ec7764.jpg,What is the overall color,silver
00f0052f.jpg,Does the mat appear thick or thin,thin
00f0052f.jpg,What is the apparent material of the mat,rubber
00f0052f.jpg,What is the main color of the mat,black
00f0052f.jpg,What is the overall texture of the mat,perforated
00f0052f.jpg,What is the shape of the mat,rectangular
00f687ce.jpg,What is the main color of the shoe,black
00f687ce.jpg,What is the pattern on the shoe,crocodile
00f687ce.jpg,What is the prominent feature on the shoe,buckle
00f687ce.jpg,What is the type of shoe shown,loafer
00f687ce.jpg,What material is the shoe made of,leather
0101f232.jpg,Is the frame design simple or ornate,simple
0101f232.jpg,What is shown reflecting in the mirror,nothing
0101f232.jpg,What is the main color of the frame,brass
0101f232.jpg,What is the material of the frame (likely),metal
0101f232.jpg,What is the shape of the mirror,rectangular
01043c28.jpg,How many shelves does the coffee table have,two
01043c28.jpg,What is on the lower shelf of the coffee table,book
01043c28.jpg,What is the main color of the coffee table,black
01043c28.jpg,What is the shape of the coffee table,rectangular
01043c28.jpg,What material is the coffee table made of,wood
0111ba12.jpg,How many mop heads are shown in the image,one
0111ba12.jpg,What is the main color of the mop head,blue
0111ba12.jpg,What is the material of the mop head,microfiber
0111ba12.jpg,What is the shape of the mop head,tube
0111ba12.jpg,What is the visible feature at the top of the mop head,headband
011a2444.jpg,What color is the sole,brown
011a2444.jpg,What is the main color of the shoe,grey
011a2444.jpg,What is the pattern on the shoe's upper,perforated
011a2444.jpg,What is the style of the shoe,sneakers
011a2444.jpg,What type of closure does the shoe have,laces
0123a2bd.jpg,Are the washcloths folded,yes
0123a2bd.jpg,How many stacks of washcloths are there,two
0123a2bd.jpg,What appears to be the material of the washcloths,cotton
0123a2bd.jpg,What is the approximate shape of each washcloth,square
0123a2bd.jpg,What is the main color of the washcloths,white
01240581.jpg,What color is the sole,brown
01240581.jpg,What is the heel type,kitten
01240581.jpg,What is the main fabric,tweed
01240581.jpg,What is the shoe's style,slingback
01240581.jpg,What is the toe shape,pointed
013240ce.jpg,Are the fixtures shown recessed,yes
013240ce.jpg,How many light fixtures are shown,twelve
013240ce.jpg,What is the apparent material of the light fixtures,plastic
013240ce.jpg,What is the main color of the light fixtures,white
013240ce.jpg,What is the shape of the light fixtures,round
01360fee.jpg,How many handles does the bag have,two
01360fee.jpg,What color is the tassel,brown
01360fee.jpg,What is the main closure type visible,zipper
01360fee.jpg,What is the primary style of the handbag,tote
01360fee.jpg,What is the shape of the handbag,rectangular
01375b98.jpg,What is the color of the heel patch,brown
01375b98.jpg,What is the color of the laces,brown
01375b98.jpg,What is the main color of the shoe,olive
01375b98.jpg,What material is the sole made of,rubber
01375b98.jpg,What type of footwear is shown,sneakers
0138fb46.jpg,What is the main color of the sandal,silver
0138fb46.jpg,What is the style of the straps,crossover
0138fb46.jpg,What is the type of footwear shown,sandal
0138fb46.jpg,What material are the straps made of,leather
0138fb46.jpg,What material is the sole made of,cork
0139684c.jpg,How many containers are shown,eight
0139684c.jpg,What is the main color of the lids,red
0139684c.jpg,What is the material of the containers,plastic
0139684c.jpg,What is the overall transparency of the containers,transparent
0139684c.jpg,What is the shape of the containers,round
013de1eb.jpg,What color are the leaves in the picture,green
013de1eb.jpg,What is the background color of the print,white
013de1eb.jpg,What is the main color of the frame,black
013de1eb.jpg,What is the material of the mat,linen
013de1eb.jpg,What is the shape of the frame,rectangular
013eb3c9.jpg,Does the ottoman have visible legs,no
013eb3c9.jpg,Is the ottoman's top surface flat or curved,curved
013eb3c9.jpg,What appears to be the primary material covering the ottoman,fabric
013eb3c9.jpg,What is the main color of the ottoman,grey
013eb3c9.jpg,What is the overall shape of the ottoman,round
0148c352.jpg,How many main zippered compartments are visible,two
0148c352.jpg,What is the apparent material of the backpack,nylon
0148c352.jpg,What is the main color of the backpack,black
0148c352.jpg,What is the overall shape of the backpack,rectangular
0148c352.jpg,What type of straps are on the back panel,mesh
014aeba8.jpg,How many storage cubes are shown,six
014aeba8.jpg,What design is on the fabric,pattern
014aeba8.jpg,What is the apparent material of the cubes,fabric
014aeba8.jpg,What is the main color of the storage cubes,beige
014aeba8.jpg,What is the overall shape of each cube,square
014ff0fa.jpg,What is the color of the sole,beige
014ff0fa.jpg,What is the main color of the sandal,black
014ff0fa.jpg,What is the material of the strap,fabric
014ff0fa.jpg,What is the style of the sandal,flat
014ff0fa.jpg,What type of heel does the sandal have,wedge
015571e1.jpg,What is the cooking surface like,nonstick
015571e1.jpg,What is the main color of the pan,red
015571e1.jpg,What is the overall condition of the pan,renewed
015571e1.jpg,What is the shape of the pan,round
015571e1.jpg,What material is the handle made of,black
01559d83.jpg,What is the filament diameter,1
01559d83.jpg,What is the main color of the filament,orange
01559d83.jpg,What is the material of the filament,petg
01559d83.jpg,What is the primary color of the spool,black
01559d83.jpg,What is the weight of the filament,1kg
01560a06.jpg,What color are the doll's shoes,green
01560a06.jpg,What color is the doll's hair,brown
01560a06.jpg,What color is the doll's hat,green
01560a06.jpg,What is the doll wearing on her head,hat
01560a06.jpg,What is the main color of the doll's dress,purple
01568dab.jpg,How many USB ports are visible on the hub,four
01568dab.jpg,What color are the USB ports,blue
01568dab.jpg,What is the main color of the hub,black
01568dab.jpg,What is the material of the hub's casing,plastic
01568dab.jpg,What is the type of cable connecting to the computer,usb
015d3abd.jpg,How many beads are visible,twenty
015d3abd.jpg,What is the bracelet's style,stretch
015d3abd.jpg,What is the main color of the bracelet,black
015d3abd.jpg,What is the material of the beads,onyx
015d3abd.jpg,What is the shape of the beads,round
015ea20e.jpg,Are the boots lined,no
015ea20e.jpg,What is the height of the boot,ankle
015ea20e.jpg,What is the main color of the boots,burgundy
015ea20e.jpg,What material are the boots made of,suede
015ea20e.jpg,What type of heel do the boots have,flat
01612f17.jpg,How many shoes are shown in the image,one
01612f17.jpg,What appears to be the material of the shoe,leather
01612f17.jpg,What is the main color of the shoe,black
01612f17.jpg,What is the style of the shoe,formal
01612f17.jpg,What type of closure does the shoe have,laces
016329a5.jpg,How many cables are shown in the image,two
016329a5.jpg,What is the main color of the cable,grey
016329a5.jpg,What is the material of the cable's outer covering,nylon
016329a5.jpg,What is the texture of the cable,braided
016329a5.jpg,What type of connector is on one end,usb
016c9bd7.jpg,Is the bean bag filled with beans,no
016c9bd7.jpg,What is the dominant design element on the bean bag,print
016c9bd7.jpg,What is the main color of the bean bag cover,blue
016c9bd7.jpg,What is the primary shape of the bean bag,pear
016c9bd7.jpg,What type of fabric appears to be used,cloth
017ff8bb.jpg,What is the main color of the cable,red
017ff8bb.jpg,What is the overall shape of the coiled cable,circular
017ff8bb.jpg,What material is the cable braided with,nylon
017ff8bb.jpg,What type of connector is on the larger end,usb
017ff8bb.jpg,What type of connector is on the smaller end,lightning
0188e3ee.jpg,What color is the shoe sole,green
0188e3ee.jpg,What is the main color of the shoe upper,grey
0188e3ee.jpg,What is the material of the shoe upper,suede
0188e3ee.jpg,What is the style of the shoe,sneaker
0188e3ee.jpg,What type of laces does the shoe have,round
018a6006.jpg,What is the main color of the boot,brown
018a6006.jpg,What is the sole's apparent texture,rubber
018a6006.jpg,What is the style of the boot's lacing,lace
018a6006.jpg,What material appears to be the upper of the boot,leather
018a6006.jpg,What type of footwear is shown,boot
0194e39a.jpg,How many separate storage compartments does it have,four
0194e39a.jpg,How many shelves are visible on the top section,three
0194e39a.jpg,What is the apparent material of the bookcase,wood
0194e39a.jpg,What is the main color of the bookcase,white
0194e39a.jpg,What is the shape of the bottom storage bin,curved
019d39b3.jpg,Is the bean bag cover filled with beans,no
019d39b3.jpg,What is the apparent texture of the bean bag cover,smooth
019d39b3.jpg,What is the main color of the bean bag cover,red
019d39b3.jpg,What is the secondary color of the bean bag cover,black
019d39b3.jpg,What is the shape of the bean bag cover,teardrop
01a15799.jpg,How many legs does the ottoman have,four
01a15799.jpg,What is the apparent texture of the ottoman's covering,fabric
01a15799.jpg,What is the main color of the ottoman,grey
01a15799.jpg,What is the shape of the ottoman,rectangular
01a15799.jpg,What is the style of the ottoman's legs,tapered
01aaba7a.jpg,How many USB ports are visible,two
01aaba7a.jpg,What color is the top section of the device,gray
01aaba7a.jpg,What is the main color of the surge protector,white
01aaba7a.jpg,What is the shape of the power cord,coiled
01aaba7a.jpg,What type of plug is shown on the power cord,three
01b1ee23.jpg,How many pillowcases are shown,two
01b1ee23.jpg,What is the apparent texture of the fabric,smooth
01b1ee23.jpg,What is the main color of the bedding,grey
01b1ee23.jpg,What is the overall shape of the items shown,rectangular
01b1ee23.jpg,What type of bedding is shown,duvet
01b747d1.jpg,How many glasses are shown in the image,one
01b747d1.jpg,What is the apparent material of the glass,glass
01b747d1.jpg,What is the base design of the glass,ribbed
01b747d1.jpg,What is the main shape of the glass,cylindrical
01b747d1.jpg,What is the primary color of the glass,clear
01bc562d.jpg,What is the main color of the pendant,yellow
01bc562d.jpg,What is the setting style of the central gemstone,wrap
01bc562d.jpg,What is the shape of the main gemstone,teardrop
01bc562d.jpg,What is the type of smaller accent stones,diamonds
01bc562d.jpg,What type of metal is predominantly used in the necklace chain,silver
01c1c951.jpg,What are the boy and girl sitting in,basket
01c1c951.jpg,What color are most of the balloons,pink
01c1c951.jpg,What is the main background color of the phone case,black
01c1c951.jpg,What is the primary design element featured on the case,couple
01c1c951.jpg,What shapes are the balloons,hearts
01c26462.jpg,How many drawers does the desk have,two
01c26462.jpg,What is the main color of the desk,brown
01c26462.jpg,What is the material of the desk,wood
01c26462.jpg,What is the shape of the desk,rectangular
01c26462.jpg,What type of device is on the desk,computer
01c3a56a.jpg,Is the towel rolled or flat,rolled
01c3a56a.jpg,What is the color of the edging,green
01c3a56a.jpg,What is the main color of the towel,grey
01c3a56a.jpg,What is the shape of the towel,rectangular
01c3a56a.jpg,What is the texture of the towel,fuzzy
01c677e9.jpg,How many handles does the wok have,one
01c677e9.jpg,What is the main color of the wok,silver
01c677e9.jpg,What is the shape of the lid,dome
01c677e9.jpg,What is the type of cooking pan shown,wok
01c677e9.jpg,What material is the wok made of,stainless
01d97619.jpg,What is the embellishment on the seahorse,crystals
01d97619.jpg,What is the main color of the seahorse,blue
01d97619.jpg,What is the shape of the pendant,seahorse
01d97619.jpg,What is the style of the pendant,whimsical
01d97619.jpg,What material is the chain made of,silver
01df4abc.jpg,How many lids does the bottle have,one
01df4abc.jpg,What is the bottle made of,glass
01df4abc.jpg,What is the main color of the bottle,transparent
01df4abc.jpg,What is the shape of the bottle,rectangular
01df4abc.jpg,What material is the lid made of,metal
01ee1655.jpg,Are the hooks designed for wall mounting,yes
01ee1655.jpg,How many hooks are shown in the image,two
01ee1655.jpg,What is the apparent material of the hooks,steel
01ee1655.jpg,What is the main color of the hooks,grey
01ee1655.jpg,What is the shape of the hook portion,curved
01f2b368.jpg,How many rolls of garbage bags are shown,six
01f2b368.jpg,What is the brand name visible on the packaging,presto
01f2b368.jpg,What is the main color of the garbage bag rolls,black
01f2b368.jpg,What is the packaging material of the rolls,cardboard
01f2b368.jpg,What is the shape of the garbage bag rolls,cylindrical
01f72641.jpg,How many straps does the bag have,two
01f72641.jpg,What is the color of the accent panel,pink
01f72641.jpg,What is the main color of the bag,black
01f72641.jpg,What material appears to be used for the accent panel,suede
01f72641.jpg,What shape is the bag,rectangular
01fd4349.jpg,What is the color of the chain,gold
01fd4349.jpg,What is the main color of the stone,red
01fd4349.jpg,What is the metal type of the chain,gold
01fd4349.jpg,What is the setting style of the stone,bezel
01fd4349.jpg,What is the shape of the pendant,round
0202b754.jpg,What is the karat of the gold,10k
0202b754.jpg,What is the main color of the gemstone,red
0202b754.jpg,What is the metal of the ring band,gold
0202b754.jpg,What is the shape of the gemstone,oval
0202b754.jpg,What is the style of the setting around the gemstone,rope
02054a0e.jpg,What is the main color of the rubber bands,tan
02054a0e.jpg,What is the material of the bands,rubber
02054a0e.jpg,What is the number of packs shown,one
02054a0e.jpg,What is the packaging material,plastic
02054a0e.jpg,What is the shape of the packaging,bag
020633e1.jpg,What is the dominant color of the tie,pink
020633e1.jpg,What is the main pattern on the tie,floral
020633e1.jpg,What is the shape of the tie,triangular
020633e1.jpg,What is the texture of the tie,textured
020633e1.jpg,What is the tie made for,men
02070037.jpg,How many main compartments are visible,two
02070037.jpg,What is the main color of the bag,grey
02070037.jpg,What is the shape of the bag,rectangular
02070037.jpg,What is the style of the bag,messenger
02070037.jpg,What material are the buckles made of,leather
02080a76.jpg,How many hands does the clock have,two
02080a76.jpg,What color is the clock face,beige
02080a76.jpg,What is depicted on the clock face,zodiac
02080a76.jpg,What is the main color of the clock's frame,black
02080a76.jpg,What is the shape of the clock,round
020e71f6.jpg,Does the handbag have a shoulder strap,yes
020e71f6.jpg,How many handles does the handbag have,two
020e71f6.jpg,What is the apparent material of the handbag,patent
020e71f6.jpg,What is the main color of the handbag,black
020e71f6.jpg,What shape is the handbag,boxy
021be97c.jpg,How many holders are shown in the image,one
021be97c.jpg,Is the holder textured or smooth,smooth
021be97c.jpg,What appears to be the material of the holder,plastic
021be97c.jpg,What is the main color of the holder,white
021be97c.jpg,What is the shape of the holder,cylindrical
02274980.jpg,How many rows of diamonds are visible,two
02274980.jpg,What is the dominant metal color,white
02274980.jpg,What is the primary gemstone,diamonds
02274980.jpg,What is the setting style of the smaller diamonds,prong
02274980.jpg,What is the shape of the ring,band
022b360e.jpg,Is the light on or off,on
022b360e.jpg,What is the main color of the lamp,pink
022b360e.jpg,What is the overall form of the lamp,lamp
022b360e.jpg,What is the shape of the salt crystal,irregular
022b360e.jpg,What material is the base made of,wood
02302bca.jpg,How many diamonds are shown in the image,two
02302bca.jpg,What is the cut of the diamonds,princess
02302bca.jpg,What is the setting of the diamonds,platinum
02302bca.jpg,What is the shape of the diamonds,square
02302bca.jpg,What is the type of earring shown,studs
023553b8.jpg,How many pillow shams are visible,two
023553b8.jpg,What is the main color of the duvet set,chestnut
023553b8.jpg,What is the style of the headboard,post
023553b8.jpg,What size is the bed shown,king
023553b8.jpg,What type of bed frame is shown,wooden
023a55d3.jpg,How many light bulbs are shown,four
023a55d3.jpg,What is the main color of the bulbs,amber
023a55d3.jpg,What is the shape of the bulbs,teardrop
023a55d3.jpg,What is the visible material of the base,metal
023a55d3.jpg,What type of light is shown,led
023df2da.jpg,What is the finish of the lamp's central connecting piece,silver
023df2da.jpg,What is the main color of the lamp base,blue
023df2da.jpg,What is the material of the lampshade,fabric
023df2da.jpg,What is the overall style of the lamp,modern
023df2da.jpg,What is the shape of the lampshade,round
0245c69c.jpg,How many towels are in the stack,six
0245c69c.jpg,What is the apparent material of the towels,cotton
0245c69c.jpg,What is the apparent texture of the towels,soft
0245c69c.jpg,What is the main color of the towels,white
0245c69c.jpg,What is the shape of the towels,rectangular
025306d0.jpg,How many earrings are shown,two
025306d0.jpg,What is the color of the zirconia,white
025306d0.jpg,What is the main color of the metal,yellow
025306d0.jpg,What is the shape of the stones,round
025306d0.jpg,What is the type of earring shown,stud
0256efe6.jpg,What is the color of the main stone,blue
0256efe6.jpg,What is the metal of the chain,silver
0256efe6.jpg,What is the overall style of the pendant,square
0256efe6.jpg,What is the shape of the main blue stone,square
0256efe6.jpg,What is the shape of the smaller white stones,round
02581940.jpg,What is the main color of the shoe,grey
02581940.jpg,What is the sole color,white
02581940.jpg,What is the style of the shoe,slip
02581940.jpg,What is the upper material of the shoe,knit
02581940.jpg,What type of shoe is this,running
02793c72.jpg,How many shoes are in the image,one
02793c72.jpg,What is the apparent material of the shoe,leather
02793c72.jpg,What is the main color of the shoe,tan
02793c72.jpg,What is the style of the shoe,formal
02793c72.jpg,What type of shoe is shown,slip
0280e0b9.jpg,What is the main pattern on the sandal,snake
0280e0b9.jpg,What is the primary color of the sandal,beige
0280e0b9.jpg,What material are the straps made of,leather
0280e0b9.jpg,What material is the sole made of,cork
0280e0b9.jpg,What type of footwear is shown,sandal
028b19d4.jpg,Are the speakers wired or wireless,wired
028b19d4.jpg,How many speakers are shown,two
028b19d4.jpg,What is the main color of the speakers,silver
028b19d4.jpg,What is the shape of the speakers,oval
028b19d4.jpg,What material appears to be the speaker grills,mesh
028c2c72.jpg,How many screen protectors are shown,two
028c2c72.jpg,What is the apparent material of the screen protector,glass
028c2c72.jpg,What is the background color of the phone image,yellow
028c2c72.jpg,What is the main color of the screen protector,black
028c2c72.jpg,What is the shape of the screen protector,rectangular
028d2576.jpg,How many speeds does the fan have,two
028d2576.jpg,What is the main color of the base of the heater,black
028d2576.jpg,What is the main color of the top part of the heater,white
028d2576.jpg,What is the primary function of the device,heating
028d2576.jpg,What shape is the heater,rectangular
029b8a0e.jpg,How many straps are visible on the boot,four
029b8a0e.jpg,What color are the decorative buttons,pearl
029b8a0e.jpg,What is the main pattern of the boot,tweed
029b8a0e.jpg,What is the shape of the heel,block
029b8a0e.jpg,What is the style of the boot,ankle
029cf2cb.jpg,Does the backpack have straps,yes
029cf2cb.jpg,How many main compartments are visible on the backpack,two
029cf2cb.jpg,What is the main color of the backpack,black
029cf2cb.jpg,What is the shape of the backpack,rectangular
029cf2cb.jpg,What is the type of closure on the main compartment,zipper
02a3c9cc.jpg,How many handles are visible,two
02a3c9cc.jpg,What is the main finish of the door lever,nickel
02a3c9cc.jpg,What is the type of door lever shown,entry
02a3c9cc.jpg,What shape are the handles,straight
02a3c9cc.jpg,What type of keyhole is shown,standard
02b2526f.jpg,How many pieces comprise this cushion,two
02b2526f.jpg,Is the cushion folded,no
02b2526f.jpg,What is the apparent texture of the cushion fabric,smooth
02b2526f.jpg,What is the main color of the cushion,garnet
02b2526f.jpg,What is the shape of the cushion,rectangular
02b7295f.jpg,How many boxes are shown,three
02b7295f.jpg,What is the apparent material of the boxes,fabric
02b7295f.jpg,What is the main shape of the boxes,rectangular
02b7295f.jpg,What is the pattern on the boxes,triangles
02b7295f.jpg,What is the primary color of the boxes,brown
02c0ef5b.jpg,What color is the dominant shade in the plaid,red
02c0ef5b.jpg,What is the main pattern on the slipper,plaid
02c0ef5b.jpg,What is the style of the slipper,moccasin
02c0ef5b.jpg,What material is the slipper's lining made of,shearling
02c0ef5b.jpg,What type of shoe is shown,slipper
02c77204.jpg,How many strainers are in the set,three
02c77204.jpg,What is the main material of the strainers,stainless
02c77204.jpg,What is the overall color of the set,silver
02c77204.jpg,What is the shape of the strainers,round
02c77204.jpg,What is the type of handle on each strainer,cylindrical
02c7a6be.jpg,What is the inscription on the bracelet,love
02c7a6be.jpg,What is the main metal of the bracelet,silver
