path,question,answer
00/00880fde.jpg,What is the main color of the storage box,blue
00/00880fde.jpg,What shape are the patterns on the box,triangles
00/00880fde.jpg,What is the primary material of the box,fabric
00/00880fde.jpg,How many boxes are shown in the image,one
00/00880fde.jpg,Does the box have a lid,yes
00/00888584.jpg,What is the main color of the charger,white
00/00888584.jpg,How many USB-A ports are visible,four
00/00888584.jpg,What type of USB port is present besides USB-A,usb
00/00888584.jpg,What is the shape of the charger,rectangular
00/00888584.jpg,Is the power cord visible,yes
00/0089c6c4.jpg,What is the main color of the handbag,pink
00/0089c6c4.jpg,What type of closure does the handbag have,zip
00/0089c6c4.jpg,What is the primary style of the handbag,tote
00/0089c6c4.jpg,What kind of strap is prominently displayed,shoulder
00/0089c6c4.jpg,What detail is present on the front of the bag,tassel
00/008d8905.jpg,How many bulbs are shown,six
00/008d8905.jpg,What is the shape of the bulbs,candle
00/008d8905.jpg,What is the main color of the bulbs,clear
00/008d8905.jpg,What is the visible filament type,linear
00/008d8905.jpg,What is the base type of the bulb,screw
00/008f5b3c.jpg,What is the main color of the top surface,wood
00/008f5b3c.jpg,What material are the shelves made of,chrome
00/008f5b3c.jpg,How many shelves does the cart have,three
00/008f5b3c.jpg,What is the cart equipped with at the side,hooks
00/008f5b3c.jpg,What are the cart's base supports,wheels
00/0095a196.jpg,What is the main color of the wallet album,pink
00/0095a196.jpg,What is the primary material of the cover,leatherette
00/0095a196.jpg,What shape is the album,rectangular
00/0095a196.jpg,How many straps are visible on the album,one
00/0095a196.jpg,What is the closure type of the album,strap
00/0098afed.jpg,What is the main shape of the coffee table,square
00/0098afed.jpg,What is the primary color of the coffee table,brown
00/0098afed.jpg,How many stools are integrated with the coffee table,four
00/0098afed.jpg,What is the apparent material of the stools' upholstery,fabric
00/0098afed.jpg,What is the general style of the furniture,modern
00/009c03fa.jpg,What is the main shape of the lampshade,cylinder
00/009c03fa.jpg,What is the primary color of the lamp base,taupe
00/009c03fa.jpg,What is the texture of the lampshade,fabric
00/009c03fa.jpg,What is the pattern on the lamp base,geometric
00/009c03fa.jpg,What is the overall style of the lamp,modern
00/00a69c51.jpg,What is the main color of the humidifier,black
00/00a69c51.jpg,What is the shape of the humidifier's water tank,round
00/00a69c51.jpg,What material appears to be used for the water tank,glass
00/00a69c51.jpg,How many control knobs are visible on the humidifier,one
00/00a69c51.jpg,What is the general style of the humidifier,modern
00/00a7cd4c.jpg,What is the main color of the sham's border,loden
00/00a7cd4c.jpg,What is the main color of the sham's body,white
00/00a7cd4c.jpg,What is the shape of the sham,rectangular
00/00a7cd4c.jpg,What is the material of the sham,cotton
00/00a7cd4c.jpg,How many shams are shown,one
00/00af1462.jpg,What is the main color of the case,black
00/00af1462.jpg,What animal is depicted on the case,peacock
00/00af1462.jpg,What is the design style of the peacock,line
00/00af1462.jpg,What is the apparent texture of the case,hard
00/00af1462.jpg,What is the shape of the case,rectangular
00/00af9316.jpg,What is the main color of the cup,white
00/00af9316.jpg,What is the shape of the cup,cylindrical
00/00af9316.jpg,What is the apparent material of the cup,paper
00/00af9316.jpg,Is the cup design simple or complex,simple
00/00af9316.jpg,How many cups are shown in the image,one
00/00b02bf3.jpg,What is the main color of the chair,black
00/00b02bf3.jpg,What material are the armrests seemingly made of,leather
00/00b02bf3.jpg,What is the type of base the chair has,wheel
00/00b02bf3.jpg,What is the overall style of the chair,executive
00/00b02bf3.jpg,What is the back style of the chair,high
00/00bb2838.jpg,What is the main color of the cooktop,black
00/00bb2838.jpg,What is the shape of the cooking surface,round
00/00bb2838.jpg,What type of control panel does it have,touch
00/00bb2838.jpg,How many warning symbols are shown,three
00/00bb2838.jpg,What is the overall shape of the cooktop,rectangular
00/00c1e7fc.jpg,What is the main color of the safe,black
00/00c1e7fc.jpg,What type of lock is visible on the safe,digital
00/00c1e7fc.jpg,What is the shape of the safe,rectangular
00/00c1e7fc.jpg,What material appears to be the safe's exterior,metal
00/00c1e7fc.jpg,How many number buttons are visible on the safe,ten
00/00dabefa.jpg,What is the main color shown,oatmeal
00/00dabefa.jpg,What is the texture of the swatch,grainy
00/00dabefa.jpg,Does the swatch appear smooth or rough,rough
00/00dabefa.jpg,What is the overall shape of the swatch,square
00/00dabefa.jpg,Is the swatch primarily light or dark,light
00/00e3e839.jpg,What is the main color of the tie clip,silver
00/00e3e839.jpg,What material is the tie clip primarily made of,steel
00/00e3e839.jpg,What is the design element visible on the tie clip,carbon
00/00e3e839.jpg,What is the item shown in the image,clip
00/00e3e839.jpg,What is the shape of the tie clip,rectangular
00/00ec7764.jpg,What is the main shape of the handle,bar
00/00ec7764.jpg,What is the finish of the handle,chrome
00/00ec7764.jpg,How many screws are shown,four
00/00ec7764.jpg,What is the overall color,silver
00/00ec7764.jpg,What is the material of the screws,metal
00/00f0052f.jpg,What is the main color of the mat,black
00/00f0052f.jpg,What is the shape of the mat,rectangular
00/00f0052f.jpg,What is the overall texture of the mat,perforated
00/00f0052f.jpg,Does the mat appear thick or thin,thin
00/00f0052f.jpg,What is the apparent material of the mat,rubber
00/00f687ce.jpg,What is the main color of the shoe,black
00/00f687ce.jpg,What is the type of shoe shown,loafer
00/00f687ce.jpg,What material is the shoe made of,leather
00/00f687ce.jpg,What is the prominent feature on the shoe,buckle
00/00f687ce.jpg,What is the pattern on the shoe,crocodile
01/0101f232.jpg,What is the shape of the mirror,rectangular
01/0101f232.jpg,What is the main color of the frame,brass
01/0101f232.jpg,What is the material of the frame (likely),metal
01/0101f232.jpg,Is the frame design simple or ornate,simple
01/0101f232.jpg,What is shown reflecting in the mirror,nothing
01/01043c28.jpg,What is the main color of the coffee table,black
01/01043c28.jpg,What is the shape of the coffee table,rectangular
01/01043c28.jpg,How many shelves does the coffee table have,two
01/01043c28.jpg,What material is the coffee table made of,wood
01/01043c28.jpg,What is on the lower shelf of the coffee table,book
01/0111ba12.jpg,What is the main color of the mop head,blue
01/0111ba12.jpg,What is the material of the mop head,microfiber
01/0111ba12.jpg,What is the shape of the mop head,tube
01/0111ba12.jpg,How many mop heads are shown in the image,one
01/0111ba12.jpg,What is the visible feature at the top of the mop head,headband
01/011a2444.jpg,What is the main color of the shoe,grey
01/011a2444.jpg,What type of closure does the shoe have,laces
01/011a2444.jpg,What is the pattern on the shoe's upper,perforated
01/011a2444.jpg,What color is the sole,brown
01/011a2444.jpg,What is the style of the shoe,sneakers
01/0123a2bd.jpg,What is the main color of the washcloths,white
01/0123a2bd.jpg,How many stacks of washcloths are there,two
01/0123a2bd.jpg,What appears to be the material of the washcloths,cotton
01/0123a2bd.jpg,What is the approximate shape of each washcloth,square
01/0123a2bd.jpg,Are the washcloths folded,yes
01/01240581.jpg,What is the shoe's style,slingback
01/01240581.jpg,What is the heel type,kitten
01/01240581.jpg,What is the toe shape,pointed
01/01240581.jpg,What is the main fabric,tweed
01/01240581.jpg,What color is the sole,brown
01/013240ce.jpg,What is the shape of the light fixtures,round
01/013240ce.jpg,What is the main color of the light fixtures,white
01/013240ce.jpg,How many light fixtures are shown,twelve
01/013240ce.jpg,What is the apparent material of the light fixtures,plastic
01/013240ce.jpg,Are the fixtures shown recessed,yes
01/01360fee.jpg,What is the primary style of the handbag,tote
01/01360fee.jpg,What is the main closure type visible,zipper
01/01360fee.jpg,How many handles does the bag have,two
01/01360fee.jpg,What is the shape of the handbag,rectangular
01/01360fee.jpg,What color is the tassel,brown
01/01375b98.jpg,What is the main color of the shoe,olive
01/01375b98.jpg,What type of footwear is shown,sneakers
01/01375b98.jpg,What is the color of the laces,brown
01/01375b98.jpg,What is the color of the heel patch,brown
01/01375b98.jpg,What material is the sole made of,rubber
01/0138fb46.jpg,What is the main color of the sandal,silver
01/0138fb46.jpg,What material is the sole made of,cork
01/0138fb46.jpg,What is the type of footwear shown,sandal
01/0138fb46.jpg,What material are the straps made of,leather
01/0138fb46.jpg,What is the style of the straps,crossover
01/0139684c.jpg,What is the main color of the lids,red
01/0139684c.jpg,What is the shape of the containers,round
01/0139684c.jpg,What is the material of the containers,plastic
01/0139684c.jpg,How many containers are shown,eight
01/0139684c.jpg,What is the overall transparency of the containers,transparent
01/013de1eb.jpg,What is the main color of the frame,black
01/013de1eb.jpg,What color are the leaves in the picture,green
01/013de1eb.jpg,What is the shape of the frame,rectangular
01/013de1eb.jpg,What is the background color of the print,white
01/013de1eb.jpg,What is the material of the mat,linen
01/013eb3c9.jpg,What is the overall shape of the ottoman,round
01/013eb3c9.jpg,What is the main color of the ottoman,grey
01/013eb3c9.jpg,What appears to be the primary material covering the ottoman,fabric
01/013eb3c9.jpg,Does the ottoman have visible legs,no
01/013eb3c9.jpg,Is the ottoman's top surface flat or curved,curved
01/0148c352.jpg,What is the main color of the backpack,black
01/0148c352.jpg,How many main zippered compartments are visible,two
01/0148c352.jpg,What is the apparent material of the backpack,nylon
01/0148c352.jpg,What type of straps are on the back panel,mesh
01/0148c352.jpg,What is the overall shape of the backpack,rectangular
01/014aeba8.jpg,What is the main color of the storage cubes,beige
01/014aeba8.jpg,How many storage cubes are shown,six
01/014aeba8.jpg,What is the overall shape of each cube,square
01/014aeba8.jpg,What is the apparent material of the cubes,fabric
01/014aeba8.jpg,What design is on the fabric,pattern
01/014ff0fa.jpg,What is the main color of the sandal,black
01/014ff0fa.jpg,What is the color of the sole,beige
01/014ff0fa.jpg,What is the material of the strap,fabric
01/014ff0fa.jpg,What type of heel does the sandal have,wedge
01/014ff0fa.jpg,What is the style of the sandal,flat
01/015571e1.jpg,What is the main color of the pan,red
01/015571e1.jpg,What is the shape of the pan,round
01/015571e1.jpg,What material is the handle made of,black
01/015571e1.jpg,What is the cooking surface like,nonstick
01/015571e1.jpg,What is the overall condition of the pan,renewed
01/01559d83.jpg,What is the main color of the filament,orange
01/01559d83.jpg,What is the material of the filament,petg
01/01559d83.jpg,What is the primary color of the spool,black
01/01559d83.jpg,What is the filament diameter,1
01/01559d83.jpg,What is the weight of the filament,1kg
01/01560a06.jpg,What is the main color of the doll's dress,purple
01/01560a06.jpg,What color are the doll's shoes,green
01/01560a06.jpg,What color is the doll's hat,green
01/01560a06.jpg,What color is the doll's hair,brown
01/01560a06.jpg,What is the doll wearing on her head,hat
01/01568dab.jpg,What is the main color of the hub,black
01/01568dab.jpg,How many USB ports are visible on the hub,four
01/01568dab.jpg,What is the material of the hub's casing,plastic
01/01568dab.jpg,What color are the USB ports,blue
01/01568dab.jpg,What is the type of cable connecting to the computer,usb
01/015d3abd.jpg,What is the shape of the beads,round
01/015d3abd.jpg,What is the main color of the bracelet,black
01/015d3abd.jpg,What is the bracelet's style,stretch
01/015d3abd.jpg,What is the material of the beads,onyx
01/015d3abd.jpg,How many beads are visible,twenty
01/015ea20e.jpg,What is the main color of the boots,burgundy
01/015ea20e.jpg,What material are the boots made of,suede
01/015ea20e.jpg,What type of heel do the boots have,flat
01/015ea20e.jpg,What is the height of the boot,ankle
01/015ea20e.jpg,Are the boots lined,no
01/01612f17.jpg,What is the main color of the shoe,black
01/01612f17.jpg,What type of closure does the shoe have,laces
01/01612f17.jpg,What is the style of the shoe,formal
01/01612f17.jpg,What appears to be the material of the shoe,leather
01/01612f17.jpg,How many shoes are shown in the image,one
01/016329a5.jpg,What is the main color of the cable,grey
01/016329a5.jpg,What is the material of the cable's outer covering,nylon
01/016329a5.jpg,What type of connector is on one end,usb
01/016329a5.jpg,How many cables are shown in the image,two
01/016329a5.jpg,What is the texture of the cable,braided
01/016c9bd7.jpg,What is the main color of the bean bag cover,blue
01/016c9bd7.jpg,What is the primary shape of the bean bag,pear
01/016c9bd7.jpg,What is the dominant design element on the bean bag,print
01/016c9bd7.jpg,What type of fabric appears to be used,cloth
01/016c9bd7.jpg,Is the bean bag filled with beans,no
01/017ff8bb.jpg,What is the main color of the cable,red
01/017ff8bb.jpg,What material is the cable braided with,nylon
01/017ff8bb.jpg,What type of connector is on the smaller end,lightning
01/017ff8bb.jpg,What type of connector is on the larger end,usb
01/017ff8bb.jpg,What is the overall shape of the coiled cable,circular
01/0188e3ee.jpg,What is the main color of the shoe upper,grey
01/0188e3ee.jpg,What is the material of the shoe upper,suede
01/0188e3ee.jpg,What color is the shoe sole,green
01/0188e3ee.jpg,What type of laces does the shoe have,round
01/0188e3ee.jpg,What is the style of the shoe,sneaker
01/018a6006.jpg,What is the main color of the boot,brown
01/018a6006.jpg,What type of footwear is shown,boot
01/018a6006.jpg,What is the style of the boot's lacing,lace
01/018a6006.jpg,What material appears to be the upper of the boot,leather
01/018a6006.jpg,What is the sole's apparent texture,rubber
01/0194e39a.jpg,What is the main color of the bookcase,white
01/0194e39a.jpg,How many shelves are visible on the top section,three
01/0194e39a.jpg,What is the shape of the bottom storage bin,curved
01/0194e39a.jpg,What is the apparent material of the bookcase,wood
01/0194e39a.jpg,How many separate storage compartments does it have,four
01/019d39b3.jpg,What is the main color of the bean bag cover,red
01/019d39b3.jpg,What is the secondary color of the bean bag cover,black
01/019d39b3.jpg,What is the shape of the bean bag cover,teardrop
01/019d39b3.jpg,What is the apparent texture of the bean bag cover,smooth
01/019d39b3.jpg,Is the bean bag cover filled with beans,no
01/01a15799.jpg,What is the main color of the ottoman,grey
01/01a15799.jpg,What is the shape of the ottoman,rectangular
01/01a15799.jpg,How many legs does the ottoman have,four
01/01a15799.jpg,What is the apparent texture of the ottoman's covering,fabric
01/01a15799.jpg,What is the style of the ottoman's legs,tapered
01/01aaba7a.jpg,What is the main color of the surge protector,white
01/01aaba7a.jpg,What color is the top section of the device,gray
01/01aaba7a.jpg,What is the shape of the power cord,coiled
01/01aaba7a.jpg,How many USB ports are visible,two
01/01aaba7a.jpg,What type of plug is shown on the power cord,three
01/01b1ee23.jpg,What is the main color of the bedding,grey
01/01b1ee23.jpg,How many pillowcases are shown,two
01/01b1ee23.jpg,What type of bedding is shown,duvet
01/01b1ee23.jpg,What is the apparent texture of the fabric,smooth
01/01b1ee23.jpg,What is the overall shape of the items shown,rectangular
01/01b747d1.jpg,What is the main shape of the glass,cylindrical
01/01b747d1.jpg,What is the primary color of the glass,clear
01/01b747d1.jpg,How many glasses are shown in the image,one
01/01b747d1.jpg,What is the apparent material of the glass,glass
01/01b747d1.jpg,What is the base design of the glass,ribbed
01/01bc562d.jpg,What is the shape of the main gemstone,teardrop
01/01bc562d.jpg,What is the main color of the pendant,yellow
01/01bc562d.jpg,What type of metal is predominantly used in the necklace chain,silver
01/01bc562d.jpg,What is the setting style of the central gemstone,wrap
01/01bc562d.jpg,What is the type of smaller accent stones,diamonds
01/01c1c951.jpg,What is the main background color of the phone case,black
01/01c1c951.jpg,What shapes are the balloons,hearts
01/01c1c951.jpg,What color are most of the balloons,pink
01/01c1c951.jpg,What are the boy and girl sitting in,basket
01/01c1c951.jpg,What is the primary design element featured on the case,couple
01/01c26462.jpg,What is the main color of the desk,brown
01/01c26462.jpg,What is the material of the desk,wood
01/01c26462.jpg,How many drawers does the desk have,two
01/01c26462.jpg,What type of device is on the desk,computer
01/01c26462.jpg,What is the shape of the desk,rectangular
01/01c3a56a.jpg,What is the main color of the towel,grey
01/01c3a56a.jpg,What is the color of the edging,green
01/01c3a56a.jpg,What is the shape of the towel,rectangular
01/01c3a56a.jpg,Is the towel rolled or flat,rolled
01/01c3a56a.jpg,What is the texture of the towel,fuzzy
01/01c677e9.jpg,What is the main color of the wok,silver
01/01c677e9.jpg,What is the shape of the lid,dome
01/01c677e9.jpg,What material is the wok made of,stainless
01/01c677e9.jpg,How many handles does the wok have,one
01/01c677e9.jpg,What is the type of cooking pan shown,wok
01/01d97619.jpg,What is the main color of the seahorse,blue
01/01d97619.jpg,What is the shape of the pendant,seahorse
01/01d97619.jpg,What material is the chain made of,silver
01/01d97619.jpg,What is the embellishment on the seahorse,crystals
01/01d97619.jpg,What is the style of the pendant,whimsical
01/01df4abc.jpg,What is the main color of the bottle,transparent
01/01df4abc.jpg,What material is the lid made of,metal
01/01df4abc.jpg,What is the shape of the bottle,rectangular
01/01df4abc.jpg,What is the bottle made of,glass
01/01df4abc.jpg,How many lids does the bottle have,one
01/01ee1655.jpg,What is the main color of the hooks,grey
01/01ee1655.jpg,How many hooks are shown in the image,two
01/01ee1655.jpg,What is the apparent material of the hooks,steel
01/01ee1655.jpg,What is the shape of the hook portion,curved
01/01ee1655.jpg,Are the hooks designed for wall mounting,yes
01/01f2b368.jpg,What is the main color of the garbage bag rolls,black
01/01f2b368.jpg,How many rolls of garbage bags are shown,six
01/01f2b368.jpg,What is the shape of the garbage bag rolls,cylindrical
01/01f2b368.jpg,What is the packaging material of the rolls,cardboard
01/01f2b368.jpg,What is the brand name visible on the packaging,presto
01/01f72641.jpg,What is the main color of the bag,black
01/01f72641.jpg,What is the color of the accent panel,pink
01/01f72641.jpg,What material appears to be used for the accent panel,suede
01/01f72641.jpg,What shape is the bag,rectangular
01/01f72641.jpg,How many straps does the bag have,two
01/01fd4349.jpg,What is the main color of the stone,red
01/01fd4349.jpg,What is the shape of the pendant,round
01/01fd4349.jpg,What is the color of the chain,gold
01/01fd4349.jpg,What is the metal type of the chain,gold
01/01fd4349.jpg,What is the setting style of the stone,bezel
02/0202b754.jpg,What is the main color of the gemstone,red
02/0202b754.jpg,What is the shape of the gemstone,oval
02/0202b754.jpg,What is the metal of the ring band,gold
02/0202b754.jpg,What is the style of the setting around the gemstone,rope
02/0202b754.jpg,What is the karat of the gold,10k
02/02054a0e.jpg,What is the main color of the rubber bands,tan
02/02054a0e.jpg,What is the material of the bands,rubber
02/02054a0e.jpg,What is the packaging material,plastic
02/02054a0e.jpg,What is the shape of the packaging,bag
02/02054a0e.jpg,What is the number of packs shown,one
02/020633e1.jpg,What is the main pattern on the tie,floral
02/020633e1.jpg,What is the shape of the tie,triangular
02/020633e1.jpg,What is the dominant color of the tie,pink
02/020633e1.jpg,What is the texture of the tie,textured
02/020633e1.jpg,What is the tie made for,men
02/02070037.jpg,What is the main color of the bag,grey
02/02070037.jpg,What material are the buckles made of,leather
02/02070037.jpg,What is the style of the bag,messenger
02/02070037.jpg,How many main compartments are visible,two
02/02070037.jpg,What is the shape of the bag,rectangular
02/02080a76.jpg,What is the main color of the clock's frame,black
02/02080a76.jpg,What is the shape of the clock,round
02/02080a76.jpg,What color is the clock face,beige
02/02080a76.jpg,What is depicted on the clock face,zodiac
02/02080a76.jpg,How many hands does the clock have,two
02/020e71f6.jpg,What is the main color of the handbag,black
02/020e71f6.jpg,What is the apparent material of the handbag,patent
02/020e71f6.jpg,What shape is the handbag,boxy
02/020e71f6.jpg,How many handles does the handbag have,two
02/020e71f6.jpg,Does the handbag have a shoulder strap,yes
02/021be97c.jpg,What is the main color of the holder,white
02/021be97c.jpg,What is the shape of the holder,cylindrical
02/021be97c.jpg,What appears to be the material of the holder,plastic
02/021be97c.jpg,How many holders are shown in the image,one
02/021be97c.jpg,Is the holder textured or smooth,smooth
02/02274980.jpg,What is the dominant metal color,white
02/02274980.jpg,What is the shape of the ring,band
02/02274980.jpg,How many rows of diamonds are visible,two
02/02274980.jpg,What is the primary gemstone,diamonds
02/02274980.jpg,What is the setting style of the smaller diamonds,prong
02/022b360e.jpg,What is the main color of the lamp,pink
02/022b360e.jpg,What material is the base made of,wood
02/022b360e.jpg,What is the shape of the salt crystal,irregular
02/022b360e.jpg,Is the light on or off,on
02/022b360e.jpg,What is the overall form of the lamp,lamp
02/02302bca.jpg,What is the shape of the diamonds,square
02/02302bca.jpg,What is the setting of the diamonds,platinum
02/02302bca.jpg,How many diamonds are shown in the image,two
02/02302bca.jpg,What is the type of earring shown,studs
02/02302bca.jpg,What is the cut of the diamonds,princess
02/023553b8.jpg,What is the main color of the duvet set,chestnut
02/023553b8.jpg,What size is the bed shown,king
02/023553b8.jpg,What type of bed frame is shown,wooden
02/023553b8.jpg,How many pillow shams are visible,two
02/023553b8.jpg,What is the style of the headboard,post
02/023a55d3.jpg,How many light bulbs are shown,four
02/023a55d3.jpg,What is the shape of the bulbs,teardrop
02/023a55d3.jpg,What is the main color of the bulbs,amber
02/023a55d3.jpg,What is the visible material of the base,metal
02/023a55d3.jpg,What type of light is shown,led
02/023df2da.jpg,What is the main color of the lamp base,blue
02/023df2da.jpg,What is the shape of the lampshade,round
02/023df2da.jpg,What is the material of the lampshade,fabric
02/023df2da.jpg,What is the overall style of the lamp,modern
02/023df2da.jpg,What is the finish of the lamp's central connecting piece,silver
02/0245c69c.jpg,What is the main color of the towels,white
02/0245c69c.jpg,How many towels are in the stack,six
02/0245c69c.jpg,What is the apparent texture of the towels,soft
02/0245c69c.jpg,What is the shape of the towels,rectangular
02/0245c69c.jpg,What is the apparent material of the towels,cotton
02/025306d0.jpg,What is the shape of the stones,round
02/025306d0.jpg,What is the main color of the metal,yellow
02/025306d0.jpg,What is the color of the zirconia,white
02/025306d0.jpg,How many earrings are shown,two
02/025306d0.jpg,What is the type of earring shown,stud
02/0256efe6.jpg,What is the shape of the main blue stone,square
02/0256efe6.jpg,What is the color of the main stone,blue
02/0256efe6.jpg,What is the metal of the chain,silver
02/0256efe6.jpg,What is the shape of the smaller white stones,round
02/0256efe6.jpg,What is the overall style of the pendant,square
02/02581940.jpg,What is the main color of the shoe,grey
02/02581940.jpg,What is the style of the shoe,slip
02/02581940.jpg,What is the sole color,white
02/02581940.jpg,What is the upper material of the shoe,knit
02/02581940.jpg,What type of shoe is this,running
02/02793c72.jpg,What is the main color of the shoe,tan
02/02793c72.jpg,What type of shoe is shown,slip
02/02793c72.jpg,What is the apparent material of the shoe,leather
02/02793c72.jpg,What is the style of the shoe,formal
02/02793c72.jpg,How many shoes are in the image,one
02/0280e0b9.jpg,What is the main pattern on the sandal,snake
02/0280e0b9.jpg,What is the primary color of the sandal,beige
02/0280e0b9.jpg,What material is the sole made of,cork
02/0280e0b9.jpg,What type of footwear is shown,sandal
02/0280e0b9.jpg,What material are the straps made of,leather
02/028b19d4.jpg,What is the main color of the speakers,silver
02/028b19d4.jpg,How many speakers are shown,two
02/028b19d4.jpg,What is the shape of the speakers,oval
02/028b19d4.jpg,Are the speakers wired or wireless,wired
02/028b19d4.jpg,What material appears to be the speaker grills,mesh
02/028c2c72.jpg,What is the main color of the screen protector,black
02/028c2c72.jpg,What is the shape of the screen protector,rectangular
02/028c2c72.jpg,What is the background color of the phone image,yellow
02/028c2c72.jpg,How many screen protectors are shown,two
02/028c2c72.jpg,What is the apparent material of the screen protector,glass
